"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10u","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C2","1","0.1u","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C3","1","1u","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"D1","1","LED","","","","LED_THT:LED_D5.0mm","~"
"J1,J2","2","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J3,J4","2","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J5,J7","2","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"J6","1","Barrel_Jack_Switch","","","","Connector_BarrelJack:BarrelJack_Horizontal","~"
"R1,R2","2","330","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R3","1","560","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"S1","1","ATE1D-2M3-10-Z","","","","digikey-footprints:Switch_Toggle_ATE1D-2M3-10-Z","https://www.nidec-copal-electronics.com/e/catalog/switch/ate.pdf"
"U1","1","LM317_TO-220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf"
"U2","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
